股票代码,股票简称,公告ID,公告标题,公告时间,时间戳,PDF链接,PDF大小(KB),板块,公告类型代码,orgId
601857,中国石油,1222962163,中国石油天然气股份有限公司二零二四年度业绩公告（年度报告摘要）,2025-03-31,1743350400000,https://static.cninfo.com.cn/finalpage/2025-03-31/1222962163.PDF,1586,SHZB,01010501||010113||010301,9900003825
601857,中国石油,1219405975,中国石油天然气股份有限公司2023年度报告,2024-03-26,1711382400000,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405975.PDF,12147,SHZB,01010501||010113||010301,9900003825
601857,中国石油,1219405969,中国石油天然气股份有限公司二零二三年度业绩公告（年度报告摘要）,2024-03-26,1711382400000,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405969.PDF,1539,SHZB,01010501||010113||010301||012111,9900003825
601857,中国石油,1212769284,中国石油天然气股份有限公司2021 年度报告,2022-04-01,1648742400000,https://static.cninfo.com.cn/finalpage/2022-04-01/1212769284.PDF,4997,SHZB,01010501||010113||010301,9900003825
601857,中国石油,1212769283,中国石油天然气股份有限公司二零二一年度业绩公告（年度报告摘要）,2022-04-01,1648742400000,https://static.cninfo.com.cn/finalpage/2022-04-01/1212769283.PDF,1432,SHZB,01010501||010113||010301,9900003825
601857,中国石油,1209453490,中国石油天然气股份有限公司二零二零年度业绩公告（年度报告摘要）,2021-03-26,1616688000000,https://static.cninfo.com.cn/finalpage/2021-03-26/1209453490.PDF,1131,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,1209453479,2020年度报告,2021-03-26,1616688000000,https://static.cninfo.com.cn/finalpage/2021-03-26/1209453479.PDF,2328,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,1207410606,2019年年度报告摘要,2020-03-27,1585238400000,https://static.cninfo.com.cn/finalpage/2020-03-27/1207410606.PDF,718,SHZB,010113||01030110||01010501,9900003825
601857,中国石油,1207410601,2019年年度报告,2020-03-27,1585238400000,https://static.cninfo.com.cn/finalpage/2020-03-27/1207410601.PDF,5685,SHZB,010113||01030101||01010501,9900003825
601857,中国石油,1205924085,2018年年度报告摘要,2019-03-22,1553184000000,https://static.cninfo.com.cn/finalpage/2019-03-22/1205924085.PDF,634,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,1205924084,2018年年度报告,2019-03-22,1553184000000,https://static.cninfo.com.cn/finalpage/2019-03-22/1205924084.PDF,1749,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,1204507342,2017年年度报告,2018-03-23,1521734400000,https://static.cninfo.com.cn/finalpage/2018-03-23/1204507342.PDF,4477,SHZB,01010503||010113||01030101,9900003825
601857,中国石油,1204507334,2017年年度报告摘要,2018-03-23,1521734400000,https://static.cninfo.com.cn/finalpage/2018-03-23/1204507334.PDF,603,SHZB,01010503||010113||01030110,9900003825
601857,中国石油,1203239645,2016年年度报告,2017-03-31,1490889600000,https://static.cninfo.com.cn/finalpage/2017-03-31/1203239645.PDF,4765,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,1203239644,2016年年度报告摘要,2017-03-31,1490889600000,https://static.cninfo.com.cn/finalpage/2017-03-31/1203239644.PDF,683,SHZB,01010503||010113||01030110,9900003825
601857,中国石油,1202069721,2015年年度报告摘要,2016-03-24,1458748800000,https://static.cninfo.com.cn/finalpage/2016-03-24/1202069721.PDF,627,SHZB,01010503||010113||01030110,9900003825
601857,中国石油,1202069715,2015年年度报告,2016-03-24,1458748800000,https://static.cninfo.com.cn/finalpage/2016-03-24/1202069715.PDF,7345,SHZB,01010503||010113||01030101,9900003825
601857,中国石油,1200747277,2014年年度报告,2015-03-27,1427385600000,https://static.cninfo.com.cn/finalpage/2015-03-27/1200747277.PDF,1878,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,1200747275,2014年年度报告摘要,2015-03-27,1427385600000,https://static.cninfo.com.cn/finalpage/2015-03-27/1200747275.PDF,534,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,63702666,2013年年度报告摘要,2014-03-21,1395331201000,https://static.cninfo.com.cn/finalpage/2014-03-21/63702666.PDF,523,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,63702667,2013年年度报告,2014-03-21,1395331200000,https://static.cninfo.com.cn/finalpage/2014-03-21/63702667.PDF,1321,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,62239968,2012年年度报告摘要,2013-03-22,1363881601000,https://static.cninfo.com.cn/finalpage/2013-03-22/62239968.PDF,518,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,62239965,2012年年度报告,2013-03-22,1363881601000,https://static.cninfo.com.cn/finalpage/2013-03-22/62239965.PDF,3582,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,60760704,2011年年度报告摘要,2012-03-30,1333060200000,https://static.cninfo.com.cn/finalpage/2012-03-30/60760704.PDF,322,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,60760703,2011年年度报告,2012-03-30,1333060200000,https://static.cninfo.com.cn/finalpage/2012-03-30/60760703.PDF,1371,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,59137768,2010年年度报告摘要,2011-03-18,1300401000000,https://static.cninfo.com.cn/finalpage/2011-03-18/59137768.PDF,419,SHZB,01010501||010113||01030110,9900003825
601857,中国石油,59137767,2010年年度报告,2011-03-18,1300401000000,https://static.cninfo.com.cn/finalpage/2011-03-18/59137767.PDF,1317,SHZB,01010501||010113||01030101,9900003825
601857,中国石油,57732076,2009年年度报告摘要,2010-03-26,1269556200000,https://static.cninfo.com.cn/finalpage/2010-03-26/57732076.PDF,425,SHZB,01010501||010113||01030110,9900003825
601398,工商银行,1225047240,工商银行2025年度报告,2026-03-28,1774627200000,https://static.cninfo.com.cn/finalpage/2026-03-28/1225047240.PDF,9072,SHZB,01010501||010113||010301,jjxt0000019
601398,工商银行,1225046871,工商银行2025年度报告摘要,2026-03-28,1774627200000,https://static.cninfo.com.cn/finalpage/2026-03-28/1225046871.PDF,398,SHZB,01010501||010113||010301,jjxt0000019
601398,工商银行,1222948914,工商银行2024年度报告,2025-03-29,1743177600000,https://static.cninfo.com.cn/finalpage/2025-03-29/1222948914.PDF,9650,SHZB,01010501||010113||010301,jjxt0000019
601398,工商银行,1222948910,工商银行2024年度报告摘要,2025-03-29,1743177600000,https://static.cninfo.com.cn/finalpage/2025-03-29/1222948910.PDF,750,SHZB,01010501||010113||010301,jjxt0000019
601398,工商银行,1219429144,工商银行2023年度报告,2024-03-28,1711555200000,https://static.cninfo.com.cn/finalpage/2024-03-28/1219429144.PDF,9272,SHZB,01010501||010113||010301,jjxt0000019
601398,工商银行,1219429140,工商银行2023年度报告摘要,2024-03-28,1711555200000,https://static.cninfo.com.cn/finalpage/2024-03-28/1219429140.PDF,865,SHZB,01010503||010113||010301,jjxt0000019
